 ,Series 1,,,
0,0%,,,
0.1,0%,,,
0.2,0%,,,
0.3,0%,,,
0.4,0%,,,
0.5,0%,,,
0.6,0%,,,
0.7,0%,,,
0.8,0%,,,
0.9,0%,,,
1,0%,,,
1.1,0%,,,
1.2,0%,,,
1.3,0%,,,
1.4,0%,,,
1.5,0%,,,
1.6,0%,,,
1.7,0%,,,
1.8,0%,,,
1.9,0%,,,
2,1%,,,
2.1,2%,,,
2.2,3%,,,
2.3,3%,,,
2.4,3%,,,
2.5,4%,,,
2.6,5%,,,
2.7,5%,,,
2.8,6%,,,
2.9,7%,,,
3,7%,,,
3.1,8%,,,
3.2,7%,,,
3.3,7%,,,
3.4,6%,,,
3.5,6%,,,
3.6,5%,,,
3.7,4%,,,
3.8,3%,,,
3.9,2%,,,
4,1%,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,100%
